time,open,high,low,close,volumn
2018-04-07 03:00:00,370.38,370.61,368.0,369.32,1386.52463
2018-04-07 04:00:00,369.29,370.0,368.41,369.45,700.15537
2018-04-07 05:00:00,369.45,369.89,365.25,365.32,1239.51128
2018-04-07 06:00:00,365.74,369.3,365.04,368.89,1815.93905
2018-04-07 07:00:00,368.89,370.22,368.28,370.2,1603.90296
2018-04-07 08:00:00,370.22,382.0,370.22,378.35,6838.52999
2018-04-07 09:00:00,378.35,381.79,376.55,378.22,3084.39542
2018-04-07 10:00:00,378.49,382.53,378.0,381.5,2800.039
2018-04-07 11:00:00,381.63,381.99,379.45,380.5,1917.53844
2018-04-07 12:00:00,380.35,382.2,379.47,380.76,2692.36797
2018-04-07 13:00:00,380.96,382.72,380.88,382.17,1820.95458
2018-04-07 14:00:00,382.14,382.61,380.1,382.05,2218.35247
2018-04-07 15:00:00,382.06,385.27,381.79,383.5,4252.92701
2018-04-07 16:00:00,383.49,383.49,380.33,381.32,2359.02975
2018-04-07 17:00:00,381.32,382.58,380.31,381.56,1671.4304
2018-04-07 18:00:00,381.56,382.5,380.75,381.76,1321.99532
2018-04-07 19:00:00,381.76,384.0,381.73,383.55,1681.58747
2018-04-07 20:00:00,383.56,384.31,375.5,380.14,4059.38866
2018-04-07 21:00:00,380.11,382.4,379.82,381.12,1754.26468
2018-04-07 22:00:00,381.49,388.55,380.43,388.05,6432.48637
2018-04-07 23:00:00,388.06,394.75,386.02,391.6,8625.36924
2018-04-08 00:00:00,391.5,392.99,389.22,390.64,3914.45067
2018-04-08 01:00:00,390.64,392.03,386.0,388.08,2222.22307
2018-04-08 02:00:00,388.08,389.82,386.45,389.07,1861.45279
2018-04-08 03:00:00,389.08,393.95,388.11,391.68,2510.70855
2018-04-08 04:00:00,391.69,393.0,389.0,390.65,1546.43984
2018-04-08 05:00:00,390.64,391.99,383.97,385.42,1898.94787
2018-04-08 06:00:00,385.42,386.0,382.63,384.51,2374.64596
2018-04-08 07:00:00,384.51,389.81,384.1,387.44,1769.65282
2018-04-08 08:00:00,387.44,388.44,384.0,386.07,1822.35256
2018-04-08 09:00:00,386.07,387.0,384.09,386.08,1675.12953
2018-04-08 10:00:00,386.08,389.44,385.78,389.42,1565.52893
2018-04-08 11:00:00,389.4,391.38,388.11,389.92,1189.84503
2018-04-08 12:00:00,390.31,393.94,386.69,388.66,3264.20076
2018-04-08 13:00:00,388.64,389.41,385.75,387.44,1212.28387
2018-04-08 14:00:00,387.44,391.11,386.81,389.69,1448.17761
2018-04-08 15:00:00,389.68,393.0,389.55,391.26,1410.54063
2018-04-08 16:00:00,391.26,394.95,391.1,393.43,2154.83117
2018-04-08 17:00:00,393.43,394.14,392.13,392.83,1838.92122
2018-04-08 18:00:00,392.34,400.58,391.56,400.58,4849.85056
2018-04-08 19:00:00,400.51,403.99,398.51,402.85,5037.23175
2018-04-08 20:00:00,402.85,404.05,399.19,400.9,4285.83863
2018-04-08 21:00:00,400.9,401.5,397.03,397.3,3230.26105
2018-04-08 22:00:00,397.32,403.4,397.15,401.0,3996.73357
2018-04-08 23:00:00,401.0,401.46,396.5,397.25,3691.83615
2018-04-09 00:00:00,397.21,398.76,394.5,396.9,3662.21089
2018-04-09 01:00:00,396.45,399.0,395.0,398.4,1742.30524
2018-04-09 02:00:00,398.45,399.78,397.5,399.39,1362.49815
2018-04-09 03:00:00,399.78,399.78,395.96,397.2,1248.90364
2018-04-09 04:00:00,397.2,398.7,396.0,398.22,1100.91929
2018-04-09 05:00:00,398.23,402.05,398.1,400.08,2274.37019
2018-04-09 06:00:00,400.08,401.41,398.98,400.4,1561.10612
2018-04-09 07:00:00,400.4,409.77,400.29,407.8,7490.89927
2018-04-09 08:00:00,407.74,413.0,407.19,410.92,7362.44687
2018-04-09 09:00:00,410.92,413.9,407.68,408.4,5917.729
2018-04-09 10:00:00,408.4,411.97,404.05,411.82,5655.20863
2018-04-09 11:00:00,411.28,413.62,407.51,411.22,4471.09826
2018-04-09 12:00:00,411.12,413.63,409.36,412.77,2920.70672
2018-04-09 13:00:00,412.77,413.9,409.26,411.98,4249.63361
2018-04-09 14:00:00,412.0,419.0,411.59,418.81,7034.54001
2018-04-09 15:00:00,418.81,430.0,418.81,429.66,10488.63924
2018-04-09 16:00:00,429.5,431.99,418.0,420.01,12760.88009
2018-04-09 17:00:00,420.01,420.98,402.6,402.7,20428.87544
2018-04-09 18:00:00,402.7,402.7,394.0,395.69,13680.81318
2018-04-09 19:00:00,395.19,399.37,391.65,394.75,7066.96828
2018-04-09 20:00:00,394.77,396.8,392.0,392.88,4157.25067
2018-04-09 21:00:00,392.34,393.5,387.1,393.5,6352.4226
2018-04-09 22:00:00,393.5,399.12,393.28,397.06,5920.97345
2018-04-09 23:00:00,397.09,398.27,395.1,396.42,2374.95189
2018-04-10 00:00:00,396.42,399.5,396.0,399.15,1837.65805
2018-04-10 01:00:00,399.14,403.66,398.22,400.4,2584.05191
2018-04-10 02:00:00,400.68,401.23,392.35,393.98,5205.83124
2018-04-10 03:00:00,393.98,394.5,389.2,391.0,6247.71018
2018-04-10 04:00:00,390.99,396.9,390.17,395.27,2407.03458
2018-04-10 05:00:00,395.27,395.5,392.1,393.0,2173.3941
2018-04-10 06:00:00,393.56,399.69,393.0,399.44,2863.78686
2018-04-10 07:00:00,399.25,400.5,397.02,398.22,2450.61699
2018-04-10 08:00:00,398.4,398.52,395.0,396.96,1799.99564
2018-04-10 09:00:00,397.48,399.48,396.93,397.26,1852.38623
2018-04-10 10:00:00,397.26,400.87,397.03,400.87,1927.66968
2018-04-10 11:00:00,400.86,404.07,399.4,400.99,4863.15624
2018-04-10 12:00:00,400.85,401.97,398.8,400.51,3975.99613
2018-04-10 13:00:00,400.99,402.3,394.3,394.87,3646.93928
2018-04-10 14:00:00,395.4,397.99,393.5,396.09,2551.95089
2018-04-10 15:00:00,396.09,396.9,393.5,396.0,3155.87297
2018-04-10 16:00:00,396.0,398.9,394.66,398.19,4429.83558
2018-04-10 17:00:00,397.58,398.15,392.85,394.26,3780.00655
2018-04-10 18:00:00,394.27,397.0,391.4,396.0,3611.6393
2018-04-10 19:00:00,396.0,398.82,395.45,398.15,2391.87584
2018-04-10 20:00:00,398.15,399.31,397.59,399.1,2228.42802
2018-04-10 21:00:00,399.0,400.95,398.01,399.56,1893.80134
2018-04-10 22:00:00,399.57,407.8,399.35,406.52,6723.06741
2018-04-10 23:00:00,406.52,409.64,404.8,406.99,5595.86478
2018-04-11 00:00:00,406.99,411.3,406.35,411.01,3339.81914
2018-04-11 01:00:00,411.02,411.99,408.5,410.75,3333.57399
2018-04-11 02:00:00,410.79,411.7,408.55,411.55,1944.0527
2018-04-11 03:00:00,411.55,411.89,408.51,410.79,1937.79081
2018-04-11 04:00:00,410.79,414.46,410.79,413.93,3049.26665
2018-04-11 05:00:00,413.92,418.68,407.7,410.33,6759.48102
2018-04-11 06:00:00,410.33,416.2,408.8,416.07,4151.20887
2018-04-11 07:00:00,415.53,420.0,415.22,418.11,5351.71074
2018-04-11 08:00:00,418.38,418.38,414.01,415.64,4344.64322
2018-04-11 09:00:00,415.64,417.6,415.3,416.05,2923.5981
2018-04-11 10:00:00,416.22,416.65,411.81,413.0,4203.10571
2018-04-11 11:00:00,413.0,415.26,412.77,415.19,1691.46273
2018-04-11 12:00:00,415.2,419.77,415.0,417.22,5024.44008
2018-04-11 13:00:00,417.22,418.49,413.66,417.4,3662.6861
2018-04-11 14:00:00,417.55,418.5,414.99,416.5,1836.53984
2018-04-11 15:00:00,416.14,418.0,414.14,416.8,2600.30358
2018-04-11 16:00:00,416.86,418.53,416.53,417.1,1646.91798
2018-04-11 17:00:00,417.16,418.6,412.5,412.67,3403.0897
2018-04-11 18:00:00,412.55,415.68,410.38,414.53,3534.11317
2018-04-11 19:00:00,414.58,415.89,413.8,415.73,2103.54971
2018-04-11 20:00:00,415.73,425.0,415.21,420.98,9962.17034
2018-04-11 21:00:00,420.95,425.0,420.51,422.51,5006.12824
2018-04-11 22:00:00,422.53,423.53,420.01,420.56,3655.77599
2018-04-11 23:00:00,420.32,421.3,418.63,420.37,3461.37137
2018-04-12 00:00:00,420.3,423.86,418.64,420.99,3358.58651
2018-04-12 01:00:00,420.99,424.33,418.84,421.71,2953.07587
2018-04-12 02:00:00,421.98,422.61,420.37,422.0,2312.31185
2018-04-12 03:00:00,422.0,422.61,419.0,420.47,2450.34633
2018-04-12 04:00:00,419.98,421.85,419.29,421.15,1114.8711
2018-04-12 05:00:00,421.15,423.34,420.5,422.98,1816.83731
2018-04-12 06:00:00,423.2,433.54,423.0,429.52,8289.0507
2018-04-12 07:00:00,429.9,434.5,429.24,432.82,6464.42976
2018-04-12 08:00:00,433.0,433.0,427.64,432.43,4946.68971
2018-04-12 09:00:00,432.43,438.0,432.0,436.53,6070.88905
2018-04-12 10:00:00,436.52,439.41,433.0,437.17,8639.49586
2018-04-12 11:00:00,437.17,437.44,433.34,437.03,4442.85115
2018-04-12 12:00:00,437.05,437.39,432.69,433.72,3348.27555
2018-04-12 13:00:00,433.72,434.77,415.0,415.62,10638.64253
2018-04-12 14:00:00,415.5,424.0,412.88,422.22,13037.6285
2018-04-12 15:00:00,422.84,424.92,421.04,423.3,3795.40258
2018-04-12 16:00:00,423.31,425.5,420.61,424.9,3480.89128
2018-04-12 17:00:00,424.83,434.0,424.0,433.05,3615.78246
2018-04-12 18:00:00,433.0,476.73,432.94,460.32,52392.18263
2018-04-12 19:00:00,460.31,465.0,453.98,462.75,23223.51851
2018-04-12 20:00:00,462.32,464.85,458.21,462.8,10379.67312
2018-04-12 21:00:00,462.8,470.44,462.0,466.8,12959.77565
2018-04-12 22:00:00,466.7,467.0,462.56,464.51,7329.07149
2018-04-12 23:00:00,464.54,469.9,451.15,456.48,10600.94416
2018-04-13 00:00:00,456.05,465.17,456.05,462.0,8655.16599
2018-04-13 01:00:00,462.18,463.0,456.0,459.12,4117.94574
2018-04-13 02:00:00,458.48,467.6,458.43,464.1,4185.1473
2018-04-13 03:00:00,464.1,468.0,463.0,467.48,4431.27935
2018-04-13 04:00:00,467.47,488.9,467.09,485.4,14429.21578
2018-04-13 05:00:00,485.48,492.73,472.16,492.63,13370.95094
2018-04-13 06:00:00,492.63,499.0,486.4,495.67,15210.53407
2018-04-13 07:00:00,494.3,503.2,482.8,491.98,16702.62504
2018-04-13 08:00:00,491.8,491.98,480.22,484.8,8596.05865
2018-04-13 09:00:00,484.8,494.89,484.36,494.0,9031.86559
2018-04-13 10:00:00,494.39,499.24,490.06,490.1,6360.74895
2018-04-13 11:00:00,490.5,491.75,486.51,486.51,4509.22831
2018-04-13 12:00:00,486.86,488.67,483.0,484.55,4792.06373
2018-04-13 13:00:00,484.56,494.0,484.38,492.51,4801.36855
2018-04-13 14:00:00,493.03,520.0,492.6,511.0,16015.79385
2018-04-13 15:00:00,510.63,525.81,509.03,522.63,21089.95223
2018-04-13 16:00:00,522.63,522.63,509.3,510.0,16841.88557
2018-04-13 17:00:00,510.0,516.5,505.21,514.25,12927.96133
2018-04-13 18:00:00,514.32,522.12,500.01,517.8,11912.9323
2018-04-13 19:00:00,517.8,530.0,514.4,527.01,13174.88894
2018-04-13 20:00:00,527.0,529.0,513.69,518.92,14538.26422
2018-04-13 21:00:00,518.92,520.1,506.69,514.19,12338.18855
2018-04-13 22:00:00,514.19,517.0,510.0,516.89,6982.61875
2018-04-13 23:00:00,516.89,519.8,514.26,519.49,5329.64584
2018-04-14 00:00:00,519.49,519.65,511.21,514.1,5988.5812
2018-04-14 01:00:00,514.08,516.49,510.11,516.22,3949.32304
2018-04-14 02:00:00,516.22,516.5,507.03,510.99,5887.9219
2018-04-14 03:00:00,510.75,511.22,488.01,493.69,15572.10768
2018-04-14 04:00:00,493.71,494.6,488.04,489.71,9686.06611
2018-04-14 05:00:00,489.66,497.53,483.0,495.81,13984.31411
2018-04-14 06:00:00,495.85,502.52,490.06,495.11,10737.68338
2018-04-14 07:00:00,494.69,498.11,486.26,493.69,9291.80988
2018-04-14 08:00:00,493.69,509.86,492.1,508.18,8876.20722
2018-04-14 09:00:00,508.18,513.33,503.4,509.93,9855.72205
2018-04-14 10:00:00,509.51,510.6,505.0,508.24,5012.97402
2018-04-14 11:00:00,507.88,508.22,498.57,500.0,5099.35931
2018-04-14 12:00:00,500.0,504.77,499.0,499.67,4384.0011
2018-04-14 13:00:00,499.17,504.08,499.0,503.5,2710.47042
2018-04-14 14:00:00,503.5,515.0,499.64,511.96,7868.49648
2018-04-14 15:00:00,511.96,514.99,506.95,508.21,4528.79417
2018-04-14 16:00:00,508.21,510.62,502.0,505.05,4661.20178
2018-04-14 17:00:00,505.04,506.6,491.61,493.16,7875.48609
2018-04-14 18:00:00,493.16,499.72,492.16,496.21,4388.77359
2018-04-14 19:00:00,496.22,497.36,485.58,488.4,8359.24188
2018-04-14 20:00:00,488.31,494.99,487.38,494.0,5837.40455
2018-04-14 21:00:00,494.0,495.32,489.02,493.05,3520.47676
2018-04-14 22:00:00,493.15,495.0,490.75,493.3,2639.99863
2018-04-14 23:00:00,493.5,498.78,491.23,498.77,4039.31108
2018-04-15 00:00:00,498.48,498.78,492.01,496.36,2603.22843
2018-04-15 01:00:00,496.36,502.23,493.72,501.13,3416.32806
2018-04-15 02:00:00,501.13,504.91,499.65,504.0,2926.06185
2018-04-15 03:00:00,504.0,509.19,503.02,507.52,3929.02274
2018-04-15 04:00:00,508.0,510.98,504.51,506.49,3870.83735
2018-04-15 05:00:00,506.49,509.36,506.26,507.98,2299.35384
2018-04-15 06:00:00,507.98,508.38,499.46,502.68,3288.77252
2018-04-15 07:00:00,502.68,512.79,502.51,508.02,7584.01636
2018-04-15 08:00:00,508.78,518.9,505.18,518.03,6049.41358
2018-04-15 09:00:00,518.0,518.51,507.68,512.15,8571.32553
2018-04-15 10:00:00,512.15,516.0,510.02,511.99,2826.06217
2018-04-15 11:00:00,511.4,515.68,511.03,513.2,2492.74434
2018-04-15 12:00:00,513.2,516.31,510.03,516.2,3137.34797
2018-04-15 13:00:00,516.2,516.3,510.0,513.0,2816.1774
2018-04-15 14:00:00,513.13,513.2,508.22,509.5,2623.89241
2018-04-15 15:00:00,509.81,512.8,509.02,511.78,2582.90963
2018-04-15 16:00:00,511.95,514.0,508.99,512.4,2391.10064
2018-04-15 17:00:00,511.9,513.35,511.35,511.99,1916.15164
2018-04-15 18:00:00,511.99,527.15,511.92,521.69,18071.3536
2018-04-15 19:00:00,521.7,527.0,520.0,524.28,6959.21714
2018-04-15 20:00:00,524.28,529.9,523.75,527.5,5459.28287
2018-04-15 21:00:00,527.5,529.9,525.56,527.64,4724.54256
2018-04-15 22:00:00,527.66,527.7,520.3,521.5,6064.51553
2018-04-15 23:00:00,521.5,526.0,520.45,522.38,3523.48883
2018-04-16 00:00:00,523.3,528.5,522.38,526.88,2885.27711
2018-04-16 01:00:00,526.76,529.0,525.08,526.0,2283.86321
2018-04-16 02:00:00,526.25,526.25,521.0,524.82,3964.0858
2018-04-16 03:00:00,524.51,526.24,523.0,525.0,1796.20868
2018-04-16 04:00:00,524.84,526.1,522.88,524.46,1449.87357
2018-04-16 05:00:00,524.46,529.53,523.7,529.53,3954.42812
2018-04-16 06:00:00,529.53,535.0,527.03,533.88,4611.87526
2018-04-16 07:00:00,533.88,538.0,531.07,534.96,6154.24162
2018-04-16 08:00:00,534.96,536.61,525.33,525.72,5852.0771
2018-04-16 09:00:00,525.98,528.42,510.0,512.61,17113.0075
2018-04-16 10:00:00,513.37,518.95,511.03,516.66,5095.13994
2018-04-16 11:00:00,516.63,517.62,511.1,513.5,4588.7448
2018-04-16 12:00:00,513.5,515.8,505.01,506.86,10589.84336
2018-04-16 13:00:00,506.86,512.29,505.01,510.68,7317.49969
2018-04-16 14:00:00,510.68,515.0,508.47,514.35,3242.25516
2018-04-16 15:00:00,514.31,517.5,512.5,516.49,3847.86435
2018-04-16 16:00:00,516.49,517.4,508.94,513.7,5171.09507
2018-04-16 17:00:00,513.7,515.0,510.1,511.17,2751.63096
2018-04-16 18:00:00,511.31,514.0,509.14,512.65,3633.848
2018-04-16 19:00:00,512.66,512.74,498.0,502.25,13684.24262
2018-04-16 20:00:00,502.24,503.99,497.31,502.82,7911.07058
2018-04-16 21:00:00,502.8,506.7,498.45,503.48,4986.5805
2018-04-16 22:00:00,504.31,506.1,502.59,503.78,3019.33464
2018-04-16 23:00:00,504.0,504.0,500.0,502.32,3093.01561
2018-04-17 00:00:00,502.32,510.85,502.0,509.03,4215.83781
2018-04-17 01:00:00,509.02,509.38,503.04,505.27,4119.8647
2018-04-17 02:00:00,505.27,509.25,502.01,503.53,3163.39887
2018-04-17 03:00:00,503.55,504.34,502.01,502.92,2651.79938
2018-04-17 04:00:00,502.92,507.0,502.63,506.8,2048.60312
